modelo,q_norm,vazao,geracao_bruta,geracao_pos_processada,corte_mwmed,derivada_mw_por_m3s,derivada_alvo_mw_por_m3s
pinn_hidrologica,0.6262626262626263,13611.898250078915,14547.048026026772,13946.316250000002,600.7317760267706,0.7309463913989921,0
pinn_hidrologica,0.6363636363636364,13796.264914772728,14680.66798586495,13946.316250000002,734.3517358649478,0.7186357671014256,0
pinn_hidrologica,0.6464646464646465,13980.63157946654,14812.060142296343,13946.316250000002,865.7438922963411,0.7067711785244288,0
pinn_hidrologica,0.6565656565656566,14164.998244160353,14941.302127300698,13946.316250000002,994.9858773006963,0.6953016377478809,0
pinn_hidrologica,0.6666666666666666,14349.364908854166,15068.461636157057,13946.316250000002,1122.1453861570553,0.6841705702361164,0
pinn_hidrologica,0.6767676767676768,14533.73157354798,15193.595523183385,13946.316250000002,1247.2792731833833,0.6733171821103773,0
pinn_hidrologica,0.6868686868686869,14718.098238241793,15316.749150660067,13946.316250000002,1370.4329006600656,0.662677835275408,0
pinn_hidrologica,0.696969696969697,14902.464902935608,15437.955990181696,13946.316250000002,1491.639740181694,0.652187406694419,0
pinn_hidrologica,0.7070707070707071,15086.831567629419,15557.237471423914,13946.316250000002,1610.9212214239124,0.6417806093588391,0
pinn_hidrologica,0.7171717171717171,15271.198232323231,15674.603069300558,13946.316250000002,1728.286819300556,0.6313932539213093,0
pinn_hidrologica,0.7272727272727273,15455.564897017046,15790.050616754945,13946.316250000002,1843.734366754943,0.6209634315845203,0
pinn_hidrologica,0.7373737373737373,15639.931561710859,15903.566827020222,13946.316250000002,1957.2505770202206,0.6104326007135583,0
pinn_hidrologica,0.7474747474747475,15824.298226404673,16015.12800614299,13946.316250000002,2068.811756142988,0.5997465617693748,0
pinn_hidrologica,0.7575757575757576,16008.664891098484,16124.70093394226,13946.316250000002,2178.3846839422586,0.5888563075624911,0
pinn_hidrologica,0.7676767676767676,16193.031555792297,16232.243889420719,13946.316250000002,2285.9276394207172,0.5777187384915731,0
pinn_hidrologica,0.7777777777777778,16377.398220486111,16337.707795002201,13946.316250000002,2391.3915450021996,0.5662972353142378,0
pinn_hidrologica,0.7878787878787878,16561.764885179924,16441.03745287381,13946.316250000002,2494.7212028738086,0.554562085040522,0
pinn_hidrologica,0.797979797979798,16746.13154987374,16542.172846188434,13946.316250000002,2595.8565961884324,0.5424907586950103,0
pinn_hidrologica,0.8080808080808081,16930.49821456755,16641.050477941826,13946.316250000002,2694.7342279418244,0.5300680428335446,0
pinn_hidrologica,0.8181818181818182,17114.864879261364,16737.604720971656,13946.316250000002,2791.2884709716545,0.5172860297689795,0
pinn_hidrologica,0.8282828282828283,17299.231543955175,16831.769153707435,13946.316250000002,2885.4529037074335,0.5041439743339161,0
pinn_hidrologica,0.8383838383838383,17483.59820864899,16923.477857988466,13946.316250000002,2977.1616079884643,0.49064802760685255,0
pinn_hidrologica,0.8484848484848485,17667.964873342804,17012.666657401398,13946.316250000002,3066.3504074013963,0.47681086026674185,0
pinn_hidrologica,0.8585858585858586,17852.33153803662,17099.274277098084,13946.316250000002,3152.9580270980823,0.4626511900493369,0
pinn_hidrologica,0.8686868686868687,18036.69820273043,17183.243408853476,13946.316250000002,3236.927158853474,0.4481932291117543,0
pinn_hidrologica,0.8787878787878788,18221.06486742424,17264.521668122303,13946.316250000002,3318.205418122301,0.43346606794774306,0
pinn_hidrologica,0.8888888888888888,18405.431532118055,17343.062432959,13946.316250000002,3396.7461829589975,0.41850301281487,0
pinn_hidrologica,0.898989898989899,18589.79819681187,17418.82555778539,13946.316250000002,3472.509307785387,0.403340893476913,0
pinn_hidrologica,0.9090909090909091,18774.16486150568,17491.777958037823,13946.316250000002,3545.461708037821,0.3880193574457759,0
pinn_hidrologica,0.9191919191919192,18958.531526199495,17561.89406462171,13946.316250000002,3615.577814621707,0.37258016588822773,0
pinn_hidrologica,0.9292929292929293,19142.89819089331,17629.156149777973,13946.316250000002,3682.8398997779714,0.35706650502057125,0
pinn_hidrologica,0.9393939393939394,19327.264855587124,17693.554528368775,13946.316250000002,3747.2382783687735,0.34152232519568154,0
pinn_hidrologica,0.9494949494949495,19511.631520280935,17755.08764067774,13946.316250000002,3808.771390677737,0.32599171810252897,0
pinn_hidrologica,0.9595959595959596,19695.998184974746,17813.76202456637,13946.316250000002,3867.4457745663694,0.31051834059181904,0
pinn_hidrologica,0.9696969696969697,19880.36484966856,17869.59218622058,13946.316250000002,3923.275936220578,0.29514489171670366,0
pinn_hidrologica,0.9797979797979798,20064.731514362375,17922.60037975994,13946.316250000002,3976.284129759939,0.27991264767911567,0
pinn_hidrologica,0.98989898989899,20249.09817905619,17972.816306678294,13946.316250000002,4026.500056678293,0.2648610575626961,0
pinn_hidrologica,1,20433.46484375,18020.276746459713,13946.316250000002,4073.960496459711,0.2500274010662552,0
pinn_multivariada,0,2181.1650390625,5319.9369611017955,5319.9369611017955,0,1.0572593032265662,1.041822
pinn_multivariada,0.010101010101010102,2365.531703756313,5516.4598902132475,5516.4598902132475,0,1.074612295163231,1.041822
