modelo,formulacao,grupo_features,feature,peso
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_lag3,0.1666619581
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_lag7,0.0394939457
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_lag14,-0.0312629389
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_lag30,-0.0852263327
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_ma3,0.0780426253
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_ma7,-0.1934887835
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_ma14,-0.2106926145
ridge_absoluto,absoluto,operacional_lags_com_geracao,ena_ma30,0.1766650747
ridge_absoluto,absoluto,operacional_lags_com_geracao,dena_lag1,0.0427324580
ridge_absoluto,absoluto,operacional_lags_com_geracao,dena_lag7,-0.0064847887
ridge_absoluto,absoluto,operacional_lags_com_geracao,p_lag1,0.3564992259
ridge_absoluto,absoluto,operacional_lags_com_geracao,p_lag2,0.1893283619
ridge_absoluto,absoluto,operacional_lags_com_geracao,p_lag7,0.2991584950
ridge_absoluto,absoluto,operacional_lags_com_geracao,p_ma3,-0.0319054450
ridge_absoluto,absoluto,operacional_lags_com_geracao,p_ma7,0.1440458982
ridge_absoluto,absoluto,operacional_lags_com_geracao,dp_lag1,0.2424688663
ridge_absoluto,absoluto,operacional_lags_com_geracao,dp_lag7,0.0652458525
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,intercepto,-0.5183631780
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,mes_sin,-0.0709505586
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,mes_cos,-0.2039536017
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag1,-0.1257379566
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag2,-0.0373745001
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag3,-0.0843788942
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag7,-0.1682843168
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag14,0.0383014697
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_lag30,0.0480619844
ridge_anomalia_mensal,anomalia_mensal,operacional_lags_com_geracao,q_ma3,-0.0851079132
