data,geracao_real_mwmed,persistencia_mwmed,mlp_absoluto_hidro_longo_mwmed,mlp_anomalia_mensal_hidro_longo_mwmed,ridge_residual_hidro_longo_mwmed,rf_residual_hidro_longo_mwmed,mlp_residual_hidro_longo_mwmed
2024-04-06,6417.0806,6608.6863,8525.2724,8339.0646,6619.2544,6594.4065,6618.6112
2024-04-07,5333.7010,6417.0806,8406.7115,8033.5376,6449.6591,6614.2676,6448.2912
2024-04-08,5672.7323,5333.7010,8541.3244,8096.8339,5339.6903,5342.9685,5352.1911
2024-04-09,6766.1348,5672.7323,8410.4451,7810.5973,5746.2002,5887.1974,5755.0640
2024-04-10,7673.4226,6766.1348,8335.2245,7844.5015,6781.8766,6651.3862,6803.2103
2024-04-11,7085.3928,7673.4226,8319.3469,7778.5745,7642.6959,7539.5594,7672.8083
2024-04-12,6131.7381,7085.3928,8265.7738,7637.6826,6968.4347,6983.1695,7003.3044
2024-04-13,5721.9612,6131.7381,7973.1864,7225.5886,6054.7154,6108.2462,6066.9399
2024-04-14,5366.5230,5721.9612,7719.3019,7000.7550,5664.8643,5856.7091,5674.9256
2024-04-15,5467.3467,5366.5230,7412.1034,6847.3381,5392.1084,5418.4681,5394.2229
2024-04-16,5380.0998,5467.3467,7331.6850,6846.4915,5537.4223,5475.2421,5533.1520
2024-04-17,5998.9511,5380.0998,7354.0620,6918.6259,5477.6576,5382.3022,5466.7004
2024-04-18,6840.2183,5998.9511,7845.2332,7660.3571,5850.9194,5949.8532,5868.1133
2024-04-19,7024.2335,6840.2183,7703.7982,7170.4083,6690.8318,6743.8490,6687.4205
2024-04-20,6868.5364,7024.2335,7633.9301,7047.7332,6844.8476,6957.7054,6831.3180
2024-04-21,6724.2387,6868.5364,7681.1306,7071.8746,6821.8026,7151.1589,6785.7244
2024-04-22,7893.7880,6724.2387,7757.9316,7320.0079,6785.7198,6685.5183,6761.8467
2024-04-23,8431.6070,7893.7880,7874.1134,7405.5723,8053.5473,8007.8044,8044.0614
2024-04-24,8253.6053,8431.6070,8415.3050,8082.8887,8355.5713,8456.8361,8391.1403
2024-04-25,8570.2343,8253.6053,8288.1928,7836.6744,8160.9891,8321.0686,8161.8183
2024-04-26,8076.7364,8570.2343,8011.6370,7634.5192,8458.0632,8472.6937,8438.4624
2024-04-27,7485.4780,8076.7364,7659.8807,7323.0763,8009.1325,7922.3638,7977.7743
2024-04-28,7535.3150,7485.4780,7256.0993,6815.8992,7480.6614,7710.7785,7444.5408
2024-04-29,7891.9776,7535.3150,7059.3166,6724.1414,7557.2512,7459.3883,7510.5969
2024-04-30,8010.2752,7891.9776,7017.4627,6687.1937,7904.3539,7759.6119,7865.1177
2024-05-01,7439.4271,8010.2752,6743.5792,7100.4316,8013.6762,7856.3155,7972.6334
2024-05-02,7301.9770,7439.4271,6584.0518,6920.6510,7408.9732,7308.8002,7379.1791
2024-05-03,6540.1457,7301.9770,6463.9004,6777.0735,7220.4914,7205.1638,7197.8690
2024-05-04,5968.6382,6540.1457,6241.4019,6534.1737,6516.4930,6477.0080,6492.7839
2024-05-05,5484.5628,5968.6382,6256.3703,6546.0251,5946.6349,5946.9605,5930.1101
2024-05-06,6042.1474,5484.5628,6293.3477,6539.4430,5472.9677,5470.4252,5461.2819
2024-05-07,6263.8877,6042.1474,6466.0798,6714.1431,6030.3331,6033.2058,6008.2403
2024-05-08,6518.0965,6263.8877,6560.0615,6760.2878,6256.8999,6240.6290,6237.8651
2024-05-09,6166.5826,6518.0965,6652.8645,6845.3545,6502.9291,6493.2944,6481.1422
2024-05-10,5991.0016,6166.5826,6742.9082,6950.8163,6152.7987,6149.7216,6122.5188
2024-05-11,5997.0211,5991.0016,6692.9824,6919.6466,5983.6824,5989.6163,5952.0863
2024-05-12,5393.0145,5997.0211,6753.0356,6987.3584,5995.5969,5986.8841,5963.1476
2024-05-13,5745.8671,5393.0145,6838.9722,7066.0647,5406.0926,5389.4628,5375.9403
2024-05-14,5693.4257,5745.8671,6878.8539,7103.1891,5746.0817,5739.1970,5720.0581
2024-05-15,5793.0210,5693.4257,6883.9316,7121.5837,5689.3570,5675.1666,5664.6890
2024-05-16,5851.2592,5793.0210,6896.0507,7165.4202,5809.6701,5845.3279,5791.1867
2024-05-17,5863.9145,5851.2592,6850.2522,7302.7796,5850.8928,5804.4674,5821.5191
2024-05-18,5780.4375,5863.9145,6906.6512,7412.1738,5861.0687,5797.8029,5841.6232
2024-05-19,5518.7928,5780.4375,6917.3322,7437.8981,5772.0762,5751.7832,5762.0247
2024-05-20,5950.1640,5518.7928,6941.3191,7418.4256,5491.6658,5511.9405,5494.8544
2024-05-21,5986.6308,5950.1640,6908.3489,7386.9594,5906.7847,5944.4058,5916.8163
