data,vazao,ena_bruta,mes_sin,mes_cos,vazao_lag1,geracao_lag1,geracao,vazao_norm,ena_bruta_norm,vazao_lag1_norm,geracao_lag1_norm,geracao_norm
2019-09-16,6154.0048828125,6662.04882813,-1.0,-1.8369701987210297e-16,5688.43994140625,9723.939916666666,10589.148708333332,0.21766242535254146,0.0478151941963348,0.19215523193647205,0.5454439484596567,0.6385872073854933
2019-09-17,7915.324951171875,6465.41894531,-1.0,-1.8369701987210297e-16,6154.0048828125,10589.148708333332,11021.925833333333,0.31416095360414503,0.04316113334378445,0.21766242535254146,0.6385872073854933,0.6851774318484276
2019-09-18,8411.81005859375,6375.36181641,-1.0,-1.8369701987210297e-16,7915.324951171875,11021.925833333333,10568.222291666669,0.34136218921470457,0.04102955826427197,0.31416095360414503,0.6851774318484276,0.6363343931922645
2019-09-19,7981.64501953125,6274.2578125,-1.0,-1.8369701987210297e-16,8411.81005859375,10568.222291666669,10129.441333333334,0.31779447206861505,0.03863651311830922,0.34136218921470457,0.6363343931922645,0.5890978315583485
2019-09-20,7612.675048828125,6201.31689453,-1.0,-1.8369701987210297e-16,7981.64501953125,10129.441333333334,10362.53625,0.29757948685297847,0.036910064086225824,0.31779447206861505,0.5890978315583485,0.6141914510251095
2019-09-21,7661.56494140625,6192.23681641,-1.0,-1.8369701987210297e-16,7612.675048828125,10362.53625,8798.002541666667,0.30025804753307256,0.036695146416997095,0.29757948685297847,0.6141914510251095,0.4457630095933289
2019-09-22,6488.139892578125,6062.34912109,-1.0,-1.8369701987210297e-16,7661.56494140625,8798.002541666667,8047.010041666667,0.23596888609124866,0.033620815957419004,0.30025804753307256,0.4457630095933289,0.36491560079144236
2019-09-23,5684.39990234375,5951.5390625,-1.0,-1.8369701987210297e-16,6488.139892578125,8047.010041666667,8280.544625,0.19193388782610069,0.030998036813393224,0.23596888609124866,0.36491560079144236,0.3900565521699558
2019-09-24,5922.64990234375,5907.03710938,-1.0,-1.8369701987210297e-16,5684.39990234375,8280.544625,8593.080458333332,0.2049870374318733,0.029944713712613986,0.19193388782610069,0.3900565521699558,0.42370231065987163
2019-09-25,5924.64990234375,5856.31689453,-1.0,-1.8369701987210297e-16,5922.64990234375,8593.080458333332,8649.8335,0.20509661266466045,0.02874420968453389,0.2049870374318733,0.42370231065987163,0.4298120073084742
2019-09-26,6322.39990234375,5880.77685547,-1.0,-1.8369701987210297e-16,5924.64990234375,8649.8335,8785.758458333334,0.22688838708521053,0.0293231560025255,0.20509661266466045,0.4298120073084742,0.4444448840319493
2019-09-27,7780.949951171875,5872.39501953,-1.0,-1.8369701987210297e-16,6322.39990234375,8785.758458333334,9022.149833333331,0.30679886765125647,0.029124765127438827,0.22688838708521053,0.4444448840319493,0.4698933806971822
2019-09-28,7547.25,5925.59179688,-1.0,-1.8369701987210297e-16,7780.949951171875,9022.149833333331,8473.590875,0.2939950043752513,0.030383887267958605,0.30679886765125647,0.4698933806971822,0.4108387691580364
2019-09-29,6831.25,5937.55810547,-1.0,-1.8369701987210297e-16,7547.25,8473.590875,8117.323375,0.2547670710374415,0.03066711953947063,0.2939950043752513,0.4108387691580364,0.37248511820236624
2019-09-30,7477.985107421875,6021.40185547,-1.0,-1.8369701987210297e-16,6831.25,8117.323375,8830.996625,0.2902001460111378,0.032651629264084714,0.2547670710374415,0.37248511820236624,0.44931495737349114
