data,geracao_mwmed,ena_bruta,ena_armazenavel,vazao
2019-10-28,9439.202541666667,6049.82910156,6025.08300781,5631.06005859375
2019-10-29,8203.398958333333,6000.38623047,5971.97509766,5818.9951171875
2019-10-30,7660.678916666667,6046.35400391,6017.33105469,6578.89013671875
2019-10-31,7908.8795,6067.12207031,6040.23779297,7235.794921875
2019-11-01,8730.726833333332,6106.09179688,6077.06884766,6797.60986328125
2019-11-02,8527.428291666667,6160.22607422,6132.73095703,5801.35498046875
2019-11-03,8070.239541666667,6136.52099609,6109.33105469,5703.48486328125
2019-11-04,9258.978875,6163.18798828,6135.08203125,5867.4599609375
2019-11-05,10216.187666666669,6064.4921875,6037.30175781,6796.08984375
2019-11-06,10067.933333333332,6119.02099609,6091.83105469,6849.31494140625
2019-11-07,9719.525375,6165.29492188,6138.10498047,6436.14501953125
2019-11-08,9403.548166666666,6346.26904297,6315.71923828,6144.60009765625
2019-11-09,8688.998458333333,6540.38818359,6506.78320313,5855.81005859375
2019-11-10,7558.470958333332,6805.49316406,6770.97119141,5441.43505859375
2019-11-11,8894.644041666666,6970.78222656,6937.78808594,5206.89013671875
2019-11-12,9682.698708333332,7151.70996094,7119.6328125,5009.5048828125
2019-11-13,9504.345625,7359.875,7326.57519531,5046.8349609375
2019-11-14,9101.447125,7578.8671875,7545.87304688,5075.47509765625
2019-11-15,8517.191958333333,7882.01416016,7849.32519531,5024.449951171875
2019-11-16,8717.491375,8142.67919922,8110.29589844,4915.18505859375
2019-11-17,8260.552583333332,8427.72265625,8396.25585938,5088.31005859375
2019-11-18,9066.857583333333,8563.40039063,8534.37695313,5233.330078125
2019-11-19,8820.048875,8628.13867188,8597.89453125,5208.06494140625
2019-11-20,8438.488875000001,8759.73828125,8729.49414063,5098.68505859375
2019-11-21,8580.788875,8628.66503906,8598.11523438,5009.93994140625
2019-11-22,8446.330958333334,8325.66699219,8294.20019531,5587.1298828125
2019-11-23,8255.652625,8201.66699219,8171.1171875,5545.455078125
2019-11-24,8030.951166666667,8118.03613281,8075.97314453,5053.22509765625
2019-11-25,8446.155499999999,8259.08496094,8226.09082031,5213.43505859375
2019-11-26,8456.808666666666,8330.82617188,8302.71972656,5625.2099609375
2019-11-27,8099.200208333333,8586.99902344,8553.69921875,5129.294921875
2019-11-28,8226.137375,8769.64355469,8735.12207031,5484.27490234375
2019-11-29,8302.518666666667,9125.49707031,9092.19824219,5257.544921875
2019-11-30,7875.310791666667,9333.46289063,9299.85839844,5610.91015625
2019-12-01,7574.393208333334,9587.16503906,9548.9765625,5836.73486328125
2019-12-02,7939.491041666667,9961.90429688,9924.6328125,5657.02490234375
2019-12-03,8028.588625,10549.92871094,10516.62890625,5656.27001953125
2019-12-04,8034.56975,11200.04296875,11166.43847656,5646.31494140625
2019-12-05,8301.458333333334,12079.44921875,12005.43066406,7334.489990234375
2019-12-06,8270.110041666667,12918.50976563,12881.84960938,8017.68994140625
2019-12-07,8963.989958333334,13593.5859375,13556.92578125,7824.25
2019-12-08,8130.997958333333,14044.49804688,14007.53222656,7477.199951171875
2019-12-09,7934.455625,14284.61035156,14247.95019531,6563.77490234375
2019-12-10,9330.008208333333,14329.00878906,14292.34863281,6502.4599609375
2019-12-11,9969.843,14486.25683594,14456.62304688,6465.31005859375
2019-12-12,9993.094458333331,14590.14453125,14547.6796875,6145.2451171875
2019-12-13,9509.96,14757.59277344,14713.29492188,6017.58984375
2019-12-14,8489.226791666666,14939.953125,14894.43261719,6151.22509765625
2019-12-15,7808.021375,15403.05175781,15356.00488281,5715.26513671875
2019-12-16,9298.41075,16170.78417969,16121.90429688,5897.955078125
2019-12-17,10447.7575,17450.13671875,17414.69921875,7023.77490234375
2019-12-18,11072.7495,18868.453125,18821.40625,8318.659912109375
2019-12-19,10733.602666666668,20044.05273438,20003.421875,7631.02001953125
2019-12-20,10752.577541666667,20641.25976563,20595.13085938,7745.2099609375
2019-12-21,9484.651166666668,21089.13867188,21053.08984375,7248.75
2019-12-22,9339.138125,21203.68554688,21163.0546875,6593.60498046875
2019-12-23,9298.248041666668,21073.01367188,21033.91015625,6145.58984375
2019-12-24,8551.066083333333,20608.91992188,20574.703125,7235.56494140625
2019-12-25,8396.730875,19919.6796875,19911.43164063,6656.64013671875
2019-12-26,9799.7085,18952.60546875,18951.078125,6541.68994140625
2019-12-27,10236.30375,17958.89453125,17957.3671875,7756.33984375
2019-12-28,10133.593458333336,17153.44140625,17151.9140625,7599.16015625
2019-12-29,10007.234791666668,16470.76757813,16467.71289063,7138.360107421875
2019-12-30,10378.561583333334,15780.67871094,15777.92871094,7006.905029296875
2019-12-31,10274.942458333331,15146.90039063,15145.37207031,8286.5048828125
2020-01-01,9773.622583333334,14519.08886719,14517.25585938,7222.89501953125
2020-01-02,10674.430833333334,13909.04980469,13907.21679688,6442.58984375
2020-01-03,10489.16025,13556.30566406,13554.47265625,6853.16015625
2020-01-04,9744.306541666669,13336.63085938,13333.88085938,6554.31005859375
2020-01-05,9196.620666666668,13112.10742188,13110.27441406,5988.9951171875
2020-01-06,10284.931,13030.0703125,13028.23730469,7302.27001953125
2020-01-07,11352.52025,13319.32519531,13317.4921875,7893.77001953125
2020-01-08,12249.042666666666,13641.94433594,13640.11132813,7778.31005859375
2020-01-09,12437.077958333331,14124.06152344,14120.70117188,7443.3349609375
2020-01-10,10846.736875,14522.85742188,14520.41308594,7311.33984375
2020-01-11,9816.887041666669,15180.32714844,15178.49414063,8183.405029296875
2020-01-12,10250.916875,16072.57617188,16045.08105469,7542.47998046875
2020-01-13,11291.425541666666,16989.05273438,16961.25195313,7201.7099609375
2020-01-14,11909.117833333332,17717.1171875,17703.98242188,7257.7099609375
2020-01-15,12188.289833333334,18022.171875,18008.73046875,7744.27490234375
2020-01-16,12584.068791666668,17923.2421875,17903.68945313,8850.05517578125
2020-01-17,10993.77975,17804.84375,17787.125,8360.4599609375
2020-01-18,10324.364083333334,17863.02929688,17844.39453125,7695.81494140625
2020-01-19,9584.959083333331,17716.20703125,17706.73828125,6305.6201171875
2020-01-20,11507.736416666668,17376.87695313,17365.87890625,6037.14013671875
2020-01-21,11299.346083333332,16885.00585938,16874.6171875,6950.2900390625
2020-01-22,11775.8465,16519.42773438,16510.26367188,6413.4599609375
2020-01-23,11970.447208333331,16240.90625,16231.43554688,6572.76513671875
